Printing the average test results after 10 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
BST: 700000:  E:    1776    916    918    254    618   1256    101    263   1095    336    575   1232    635   6370
RBT: 700000:  F:      23     22     23    410    244    533    281    114    496    295    283    606    545   3810
AVL: 700000:  F:      22     21     22    391    237    553    288    123    534    271    280    634    532   3846
AA:  700000:  F:      26     25     26    545    267    653    541    108    510    324    277    655    967   4851
BST: 700000:  F:      48     44     46    364    370    804    265    197    881    286    489   1044    542   5246
RBT: 800000:  A:      36     24     25    157    288    752     60    123    540    291    301    661    587   3764
AVL: 800000:  A:      19     19     21    107    249    546     56    114    503    273    278    616    569   3315
AA:  800000:  A:      24     27     26    158    252    564    184    125    586    357    321    758   1110   4418
RBT: 800000:  B:      34     22     23    226    371    918    310    127    535    311    327    680    629   4437
AVL: 800000:  B:      22     21     22    193    293    686    300    129    607    286    298    690    578   4064
AA:  800000:  B:      28     25     26    257    287    722    594    133    624    375    335    806   1140   5278
BST: 800000:  B:    2279   1172   1174    298    709   1464    413    301   1282    387    688   1436    740   7724
RBT: 800000:  C:      23     22     23    475    270    607    122    132    573    326    312    699    626   4146
AVL: 800000:  C:      22     21     22    446    279    644    122    138    638    318    313    715    623   4240
AA:  800000:  C:      27     25     26    602    308    748    218    131    610    384    329    773   1143   5251
BST: 800000:  C:      47     44     47    421    448    980    127    240   1062    338    587   1236    649   6093
RBT: 800000:  D:      36     20     21    157    281    730    284    110    473    283    265    610    589   3786
AVL: 800000:  D:      19     19     21    114    269    592    281    124    525    285    305    660    590   3749
AA:  800000:  D:      24     25     26    169    294    622    585    131    598    368    321    766   1098   4956
RBT: 800000:  E:      34     24     25    235    357    898     75    133    579    319    338    709    619   4266
AVL: 800000:  E:      22     21     22    196    304    663     80    128    584    293    303    695    591   3843
AA:  800000:  E:      28     26     26    255    278    712    193    133    629    375    325    796   1171   4870
BST: 800000:  E:    1959    994    996    300    715   1425    114    307   1256    373    665   1392    746   7296
RBT: 800000:  F:      23     22     23    471    267    632    333    135    575    317    315    676    613   4339
AVL: 800000:  F:      22     21     22    439    278    637    315    131    607    313    323    727    603   4378
AA:  800000:  F:      26     25     26    603    304    757    615    125    593    378    331    762   1101   5573
